"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","INST_QOTE_LSE_TEXT_CLND","MOTIVE1","MOTIVE2","MOTIVE3","MOTIVE4","MOTIVE5"
"433",1774,3,2,4,NA,0,5,3,3,5,3
"434",1775,3,2,2,NA,1,5,1,1,3,2
"435",1776,3,2,1,NA,1,5,1,4,3,3
"436",1777,3,2,2,NA,0,3,2,2,1,5
"437",1778,3,2,4,NA,1,5,1,3,5,3
"438",1779,3,2,4,NA,2,5,5,3,5,5
"439",1780,3,2,1,NA,1,5,1,1,5,5
"440",1781,3,2,4,NA,1,5,5,3,4,5
"441",1782,3,2,4,NA,2,5,5,5,5,5
"442",1783,3,2,4,NA,0,5,3,3,5,5
"443",1785,3,2,4,NA,5,5,1,2,2,1
"444",1786,3,2,4,NA,0,5,3,3,4,5
"445",1787,3,2,1,NA,1,5,98,5,3,5
"446",1788,3,2,4,NA,1,4,3,2,4,5
"447",1789,3,2,4,NA,0,5,1,2,4,5
"448",1790,3,2,2,NA,1,5,3,5,5,5
"449",1791,3,2,2,NA,1,5,4,4,5,5
"450",1792,3,2,2,NA,0,5,1,1,3,4
"451",1793,3,2,4,NA,1,5,5,1,5,3
"452",1794,3,2,4,NA,0,5,4,3,4,5
"453",1795,3,2,4,NA,1,5,5,4,5,4
"454",1796,3,2,4,NA,2,5,4,4,5,4
"455",1797,3,2,4,NA,0,5,5,3,4,4
"456",1798,3,2,4,NA,1,5,5,3,4,5
"457",1799,3,2,4,NA,1,5,5,5,5,5
"458",1800,3,2,1,NA,0,4,1,2,5,4
"459",1801,3,2,1,NA,1,4,3,4,4,4
"460",1802,3,2,1,NA,0,5,1,5,5,5
"461",1803,3,2,4,NA,5,5,2,2,5,2
"462",1804,3,2,4,NA,1,5,5,4,4,5
"463",1805,3,2,4,NA,3,5,1,2,5,5
"464",1806,3,2,4,NA,1,5,5,5,5,5
"465",1807,3,2,2,NA,0,5,98,2,5,5
"466",1808,3,2,4,NA,0,4,3,3,3,4
"467",1809,3,2,4,NA,0,5,4,5,5,5
"468",1810,3,2,4,NA,2,5,1,2,5,5
"469",1811,3,2,1,NA,0,5,4,5,5,5
"470",1812,3,2,4,NA,0,3,2,1,2,5
"471",1813,3,2,4,NA,1,5,1,3,5,4
"472",1814,3,2,4,NA,1,5,4,4,4,5
"473",1815,3,2,1,NA,0,5,2,3,5,3
"474",1816,3,2,4,NA,0,5,4,4,4,98
"475",1817,3,2,1,NA,1,5,5,4,5,5
"476",1818,3,2,1,NA,1,5,99,3,4,4
"477",1819,3,2,2,NA,0,5,4,1,5,5
"478",1820,3,2,4,NA,1,3,3,2,3,5
"479",1821,3,2,2,NA,1,5,4,4,4,4
